"volume","issue","title","citation","article","link","abstract","authors"
"44","3","Blue and Red Voices: Effects of Political Ideology on Consumers’ Complaining and Disputing Behavior","Journal of Consumer Research, Volume 44, Issue 3, 1 October 2017, Pages 477–499, https://doi.org/10.1093/jcr/ucx037","/jcr/article/44/3/477/2939534","https://academic.oup.com/jcr/article/44/3/477/2939534","Political ideology plays a pivotal role in shaping individuals’ attitudes, opinions, and behaviors. However, apart from a handful of studies, little is known about how consumers’ political ideology affects their marketplace behavior. The authors used three large consumer complaint databases from the Consumer Financial Protection Bureau, National Highway Traffic Safety Administration, and Federal Communications Commission in conjunction with a county-level indicator of political ideology (the 2012<U+2009>US presidential election results) to demonstrate that conservative consumers are not only less likely than liberal consumers to report complaints but also less likely to dispute complaint resolutions. A survey also sheds light on the relationship between political ideology and complaint/dispute behavior. Due to stronger motivations to engage in “system justification,” conservative (as opposed to liberal) consumers are less likely to complain or dispute. The present research offers a useful means of identifying those consumers most and least likely to complain and dispute, given that political ideology is more observable than most psychological factors and more stable than most situational factors. Furthermore, this research and its theoretical framework open opportunities for future research examining the influence of political ideology on other marketplace behaviors.","Kiju Jung; Ellen Garbarino; Donnel A. Briley; Jesse Wynhausen"
"44","3","A Research Agenda on Political Ideology in Consumer Research: A Commentary on Jung et al.’s “Blue and Red Voices”","Journal of Consumer Research, Volume 44, Issue 3, 1 October 2017, Pages 500–502, https://doi.org/10.1093/jcr/ucx083","/jcr/article/44/3/500/4091328","https://academic.oup.com/jcr/article/44/3/500/4091328","Jung, Garbarino, Briley, and Wynhausen’s (this issue) findings, though intriguing, leave critical unanswered questions that warrant further inquiry into the role of political ideology on consumption. We posit three research questions that constitute a sociocultural research agenda on the role of political ideology on marketplace redress.","David Crockett; Nicholas Pendarvis"
"44","3","The Politics of Buying, Boycotting, Complaining, and Disputing: An Extension of the Research Program by Jung, Garbarino, Briley, and Wynhausen","Journal of Consumer Research, Volume 44, Issue 3, 1 October 2017, Pages 503–510, https://doi.org/10.1093/jcr/ucx084","/jcr/article/44/3/503/4091330","https://academic.oup.com/jcr/article/44/3/503/4091330","Research in political psychology indicates that liberals are less motivated than conservatives by epistemic, existential, and relational needs to reduce uncertainty, threat, and social discord, and are therefore more prone to challenge the status quo. In a compelling extension of this work into the field of consumer behavior, Jung, Garbarino, Briley, and Wynhausen (this issue) demonstrate that people residing in more liberal (vs. conservative) areas register more complaints with the US Consumer Financial Protection Bureau, Federal Communications Commission, and National Highway Traffic Safety Administration, and dispute more resolutions offered in response to their complaints. Furthermore, liberals were found to object more strongly to the hypothetical imposition of an unanticipated banking fee, and this effect was mediated by system justification. Inspired by Jung and colleagues, we investigated the hypothesis that liberals would also be more likely to buy and boycott consumer products for political reasons. We analyzed data from the American National Election Studies and European Social Surveys and discovered that, even after we adjusted for demographic factors, liberals in the United States and leftists in all 15 European countries were more likely than conservatives and rightists to report having bought a product—or refrained from buying a product—for political reasons.","John T. Jost; Melanie Langer; Vishal Singh"
"44","3","Political Ideology and Consumer Research beyond Complaining Behavior: A Response to the Commentaries","Journal of Consumer Research, Volume 44, Issue 3, 1 October 2017, Pages 511–518, https://doi.org/10.1093/jcr/ucx085","/jcr/article/44/3/511/4091333","https://academic.oup.com/jcr/article/44/3/511/4091333","Two commentaries on our article offer interesting and useful paths for pushing forward the research stream we have developed. Jost, Langer, and Singh suggest delving more deeply into underlying psychological motives while extending our finding to consumer boycotting behavior, and Crockett and Pendarvis suggest broadening the scope to consider the sociocultural context in which complaining occurs. We discuss these two complementary approaches. Building on these ideas, we offer five research themes we believe are fruitful avenues for exploring the interface between consumer research and political ideology. As an illustration of one of these themes, we use three county-level datasets to explore whether and how political ideology and social vulnerability combine to influence a number of prosocial behaviors.","Kiju Jung; Ellen Garbarino; Donnel A. Briley; Jesse Wynhausen"
"44","3","Will the Consistent Organic Food Consumer Step Forward? An Empirical Analysis","Journal of Consumer Research, Volume 44, Issue 3, 1 October 2017, Pages 519–535, https://doi.org/10.1093/jcr/ucx052","/jcr/article/44/3/519/3067077","https://academic.oup.com/jcr/article/44/3/519/3067077","The organic food market has reached a significant value in developed countries, but market shares vary substantively between product categories. This article investigates general patterns in the sequence of adoption of organic products based on a major Danish retailer’s panel scanner data. All registered transactions over 20<U+2009>months from 8,704 randomly selected customers with a loyalty card are analyzed using a hidden Markov model, capturing the dynamics in consumers’ purchases. The model identifies latent states representing identifiable, accessible, and actionable dynamic customer segments, and captures the movements between states or segments. A pattern emerges that is consistent with the theory of behavioral spillover and inconsistent with the theory of moral licensing, including a tendency to buy organic products in an increasing number of product categories over time. The order in which organic products are adopted is inversely related to the behavioral costs of adopting them. The employed approach provides a firm basis for personalized communication aiming to increase cross-selling of organic products, increase the sale of less popular organic products, and accelerate movements from segments buying few organic products to segments buying organic more consistently.","Hans Jørn Juhl; Morten H. J. Fenger; John Thøgersen"
"44","3","Social-Recognition versus Financial Incentives? Exploring the Effects of Creativity-Contingent External Rewards on Creative Performance","Journal of Consumer Research, Volume 44, Issue 3, 1 October 2017, Pages 536–553, https://doi.org/10.1093/jcr/ucx062","/jcr/article/44/3/536/3738819","https://academic.oup.com/jcr/article/44/3/536/3738819","The present work examines the role of creativity-contingent monetary versus social-recognition rewards on creative performance and provides new insights into the underlying motivational processes through which these rewards affect consumer creativity. A series of five studies demonstrate that within the context of creativity contingency, monetary rewards induce a performance focus, while social-recognition rewards induce a normative focus. Such performance (normative) focus in turn enhances (attenuates) approach motivation to be original and hence leads to higher (lower) originality in a creative task. Thus, this work not only advances the current understanding of how and why two types of widely used creativity-contingent external rewards may have contrasting effects on creative performance, but it also offers important practical insights to managers who utilize reward systems in cultivating consumer creativity in their innovation platforms.","Ravi Mehta; Darren W. Dahl; Rui (Juliet) Zhu"
"44","3","Paths to Respectability: Consumption and Stigma Management in the Contemporary Black Middle Class","Journal of Consumer Research, Volume 44, Issue 3, 1 October 2017, Pages 554–581, https://doi.org/10.1093/jcr/ucx049","/jcr/article/44/3/554/3064204","https://academic.oup.com/jcr/article/44/3/554/3064204","When confronted with racial stigma, how do people manage it? What specific arrangements of objects and tactics do they mobilize to make everyday life more tolerable (if not more equal)? The politics of respectability (respectability) is one such arrangement. Respectability makes life more tolerable by offering a counternarrative that disavows stigma through status-oriented displays. This strategy of action emerged alongside mass consumer culture in the late 19th century, but what relevance does it have to those who are stigmatized in contemporary consumer culture? Based on ethnographic interviews and observations with middle-class African Americans, respectability remains an important strategy that has undergone profound changes since its origins while still operating in similar ways. In the late 20th century it fractured into two related but distinct counternarratives: (1) “discern and avoid,” which seeks distance from whatever is stigmatized, and (2) “destigmatize,” using black culture as a source of high status. Perceptions of how well either counternarrative manages stigma depend on how ideology, strategy, and consumption are connected via specific sociohistorical features of place and individual power resources. I illustrate those connections through four cases that show perceived success and perceived failure for each counternarrative.","David Crockett"
"44","3","Liquid Consumption","Journal of Consumer Research, Volume 44, Issue 3, 1 October 2017, Pages 582–597, https://doi.org/10.1093/jcr/ucx050","/jcr/article/44/3/582/3063162","https://academic.oup.com/jcr/article/44/3/582/3063162","This article introduces a new dimension of consumption as liquid or solid. Liquid consumption is defined as ephemeral, access based, and dematerialized, while solid consumption is defined as enduring, ownership based, and material. Liquid and solid consumption are conceptualized as existing on a spectrum, with four conditions leading to consumption being liquid, solid, or a combination of the two: relevance to the self, the nature of social relationships, accessibility to mobility networks, and type of precarity experienced. Liquid consumption is needed to explain behavior within digital contexts, in access-based consumption, and in conditions of global mobility. It highlights a consumption orientation around values of flexibility, adaptability, fluidity, lightness, detachment, and speed. Implications of liquid consumption are discussed for the domains of attachment and appropriation; the importance of use value; materialism; brand relationships and communities; identity; prosumption and the prosumer; and big data, quantification of the self, and surveillance. Lastly, managing the challenges of liquid consumption and its effect on consumer welfare are explored.","Fleura Bardhi; Giana M. Eckhardt"
"44","3","How and Why Conversational Value Leads to Happiness for Experiential and Material Purchases","Journal of Consumer Research, Volume 44, Issue 3, 1 October 2017, Pages 598–612, https://doi.org/10.1093/jcr/ucx054","/jcr/article/44/3/598/3090940","https://academic.oup.com/jcr/article/44/3/598/3090940","This work presents convergent evidence that experiential purchases are more conducive to interpersonal conversations than are material purchases—that is, experiences have higher conversational value, which helps explain why they afford consumers greater happiness than do objects (Van Boven and Gilovich 2003). Further, two experiments demonstrate that factors known to differ between experiential and material purchases—closeness to the self, social approval, and purchase uniqueness—help explain why experiences are preferred as a topic of conversation over objects, and suggest a social motivation for talking more about experiences. Indeed, when the motivation to build a relationship with the conversation partner is removed, the preference to share about experiences (vs. objects) disappears. Together, these findings add to and help integrate the growing literature on the relation between purchase type (material vs. experiential) and purchase-related happiness.","Wilson Bastos; Merrie Brucks"
"44","3","Social Acceptance and Word of Mouth: How the Motive to Belong Leads to Divergent WOM with Strangers and Friends","Journal of Consumer Research, Volume 44, Issue 3, 1 October 2017, Pages 613–632, https://doi.org/10.1093/jcr/ucx055","/jcr/article/44/3/613/3092333","https://academic.oup.com/jcr/article/44/3/613/3092333","Consumers are increasingly sharing product experiences with strangers and friends online. Despite the prevalence of word of mouth (WOM), little is known about how and why WOM differs based on whether people are talking to strangers or friends. The current article theorizes that one important motivation for WOM is social acceptance. To fulfill this motivation, people form and maintain existing relationships with others. Building on research in interpersonal relationships, we theorize that when communicating with strangers, people attempt to self-enhance to attract strangers into forming relationships with the self; when sharing with friends, on the other hand, people attempt to connect emotionally in order to maintain existing ties. A series of seven studies provide backing for this simple yet encompassing framework. Results of the current article provide insights into the motivations behind WOM, synthesize prior findings, and show that people systematically share different content with strangers versus friends. The current work makes theoretical contributions to research in interpersonal communication, social influence, and WOM, and holds practical implications for marketers interested in understanding consumer word of mouth.","Zoey Chen"
